,latitude,longitude,price,minimum_nights,number_of_reviews,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
300,40.78,-73.98249,150,30,48,35,0,0,1,0,0,1,0,0
301,40.70514,-73.91922,70,5,47,203,0,1,0,0,0,0,1,0
302,40.867129999999996,-73.92811,90,2,120,132,0,0,1,0,0,0,1,0
303,40.73198,-73.98881,65,3,52,5,0,0,1,0,0,0,1,0
304,40.72542,-73.97986,500,2,48,297,0,0,1,0,0,1,0,0
305,40.83494,-73.93869000000001,250,3,32,276,0,0,1,0,0,1,0,0
306,40.716590000000004,-73.98945,125,25,43,102,0,0,1,0,0,1,0,0
307,40.729659999999996,-74.00243,200,30,39,251,0,0,1,0,0,1,0,0
308,40.72898,-73.95551999999999,229,1,50,188,0,1,0,0,0,1,0,0
309,40.87207,-73.90193000000001,90,30,4,346,1,0,0,0,0,1,0,0
310,40.77728,-73.97818000000001,110,13,38,0,0,0,1,0,0,1,0,0
311,40.726459999999996,-73.95340999999999,59,3,29,15,0,1,0,0,0,0,1,0
312,40.71015,-73.96101,195,4,59,71,0,1,0,0,0,1,0,0
313,40.71903,-73.9597,169,1,68,215,0,1,0,0,0,1,0,0
314,40.80892,-73.93985,113,14,26,253,0,0,1,0,0,1,0,0
315,40.80276,-73.9567,250,14,31,78,0,0,1,0,0,1,0,0
316,40.77635,-73.93426,115,2,198,257,0,0,0,1,0,1,0,0
317,40.72488,-73.95018,55,2,1,0,0,1,0,0,0,0,1,0
318,40.71398,-73.95763000000001,69,2,220,8,0,1,0,0,0,0,1,0
319,40.718759999999996,-73.98394,150,3,286,191,0,0,1,0,0,1,0,0
320,40.66552,-73.99019,169,2,398,182,0,1,0,0,0,1,0,0
321,40.73749,-73.95291999999999,179,3,36,79,0,1,0,0,0,0,1,0
322,40.76248,-73.9913,150,3,36,49,0,0,1,0,0,0,1,0
323,40.68674,-73.98876,135,4,6,0,0,1,0,0,0,1,0,0
324,40.6848,-73.96219,350,6,14,156,0,1,0,0,0,1,0,0
325,40.70516,-73.95455,120,14,76,343,0,1,0,0,0,0,1,0
326,40.723290000000006,-73.98486,71,2,182,200,0,0,1,0,0,0,1,0
